bblid,scanid,restExclude,restExcludeVoxelwise,restNoDataExclude,restRelMeanRMSMotion,restRelMeanRMSMotionExclude,restNSpikesMotion,restNSpikesMotionExclude,restNormCrossCorr,restNormCoverage,restCoregCrossCorr,restCoregCoverage,restVoxelwiseCoverageExclude,restRpsMapCorrectionNotApplied
80961,2632,1,1,0,0.155966,0,22,1,0.91495437,0.9837030499,0.89091535,0.9872887672,0,1
80199,2637,0,0,0,0.0225915,0,0,0,0.90958574,0.9898389979,0.88338302,0.9904071367,0,1
80179,2643,0,0,0,0.123359,0,9,0,0.90537766,0.9643647114,0.90033386,0.9753251318,0,1
81005,2644,0,0,0,0.0346987,0,0,0,0.88775586,0.9758390404,0.85971111,0.9759552199,0,1
80812,2646,0,1,0,0.155146,0,16,0,0.90558245,0.9396507721,0.88679235,0.9445785812,1,1
80607,2647,0,0,0,0.061764,0,1,0,0.91351795,0.9904079289,0.88598796,0.9936700696,0,1
80249,2648,1,1,0,0.684977,1,65,1,0.88409388,0.9513112,0.88053436,0.9761806794,1,1
81098,2653,0,0,0,0.0466168,0,0,0,0.90908942,0.9895465567,0.88527132,0.9920853097,0,1
80854,2675,0,0,0,0.0498084,0,2,0,0.91584207,0.9848834489,0.89233639,0.9887751818,0,1
81826,2682,0,0,0,0.0649717,0,1,0,0.90934676,0.9837721724,0.88261101,0.9890401772,0,1
82232,2706,0,0,0,0.0732423,0,0,0,0.90420932,0.9807254669,0.87574235,0.9839868244,0,1
81604,2720,0,0,0,0.130781,0,13,0,0.90023219,0.9885894764,0.87034416,0.9862572021,0,1
81982,2723,0,0,0,0.0292952,0,0,0,0.89876674,0.9578459314,0.87880998,0.9639859966,0,1
80575,2725,0,0,0,0.0225877,0,0,0,0.89304907,0.9479933218,0.86915642,0.9515667585,0,1
80425,2726,0,0,0,0.133633,0,11,0,0.91259732,0.9518535455,0.89941747,0.9592409184,0,1
81989,2727,0,0,0,0.0478265,0,2,0,0.90246533,0.9421764006,0.88750977,0.9503856097,0,1
82458,2728,0,0,0,0.0453466,0,1,0,0.88453446,0.9476955635,0.8608277,0.957190567,0,1
